preset_id,approach,flag_transition,before_flagged,after_flagged,before_reasons,after_reasons,before_target_in_sector,after_target_in_sector,before_station_overlap_fraction_in_fan,after_station_overlap_fraction_in_fan,before_nUS_delta_deg_from_voxel_baseline,after_nUS_delta_deg_from_voxel_baseline,before_contact_delta_mm_from_voxel_baseline,after_contact_delta_mm_from_voxel_baseline,before_contact_refinement_ambiguity,after_contact_refinement_ambiguity,before_target_lateral_offset_mm,after_target_lateral_offset_mm,before_target_contrast_vs_sector,after_target_contrast_vs_sector,before_wall_contrast_vs_sector,after_wall_contrast_vs_sector,before_vessel_contrast_vs_sector,after_vessel_contrast_vs_sector,before_wall_pixel_count,after_wall_pixel_count
station_10r_node_a,default,still_clear,False,False,,,True,True,0.25398418532734746,0.2471812662619254,5.339151284637525,5.339151284637525,0.6263696743868383,0.6263696743868383,False,False,-1.605726882778938,-1.605726882778938,,,,,,,0,0
station_10r_node_b,default,still_clear,False,False,,,True,True,0.12346566479946833,0.1266261925411969,2.9049015747126825,2.9049015747126825,1.0420124022358168,1.0420124022358168,False,False,2.148515656101151,2.148515656101151,,,,,,,0,0
station_11l_node_a,default,still_flagged,True,True,nUS delta 44.72 deg > 10.0 deg | contact delta 2.38 mm > 1.5 mm | station overlap 0.0000 < 0.0030,nUS delta 19.67 deg > 10.0 deg | contact delta 3.39 mm > 1.5 mm,True,True,0.0,0.031222896790980052,44.71896254841585,19.670885677307236,2.3816495079140934,3.394448808830015,False,False,-0.6443288946858082,-3.2590520301301136,,,,,,,0,0
station_11ri_node_a,default,still_flagged,True,True,nUS delta 13.10 deg > 10.0 deg | contact delta 2.11 mm > 1.5 mm | contact refinement remained ambiguous,contact delta 2.56 mm > 1.5 mm | contact refinement remained ambiguous,True,True,0.049885391094413326,0.0372940156114484,13.10019224074777,8.25313379024058,2.108564655030162,2.5637049475918916,True,True,3.9659718921449585,0.7665116823492544,,,,,,,0,0
station_11rs_node_a,default,resolved,True,False,nUS delta 13.15 deg > 10.0 deg | target not in displayed fan sector,,False,True,0.127168414056884,0.15351257588898526,13.154575804045765,0.3254438585445646,1.109802275186132,0.7688306736465542,False,False,6.540566905620878,4.238540602464664,,,,,,,0,0
station_11rs_node_b,default,still_flagged,True,True,contact delta 1.76 mm > 1.5 mm | contact refinement remained ambiguous,contact delta 2.31 mm > 1.5 mm | contact refinement remained ambiguous,True,True,0.172008300668665,0.1899392888117953,5.213835267551767,4.3958711097996055,1.7618912923257024,2.31043560324354,True,True,3.0940773008334053,0.9487230891474121,,,,,,,0,0
station_2l_node_a,default,still_clear,False,False,,,True,True,0.03127670251868329,0.030355594102341718,7.008063063063497,7.008063063063497,0.30676205382940097,0.30676205382940097,False,False,-0.748817590678073,-0.748817590678073,,,,,,,0,0
station_2r_node_a,default,resolved,True,False,nUS delta 20.23 deg > 10.0 deg,,True,True,0.0694706289248464,0.06851691240242845,20.228677561253093,8.047749739414357,0.23357873650851538,0.5074881745169543,False,False,-0.45829297034695005,1.64449403933254,,,,,,,0,0
station_4l_node_a,default,resolved,True,False,nUS delta 16.38 deg > 10.0 deg,,True,True,0.34164304412103785,0.4562012142237641,16.37899416247417,2.486351823137489,0.5538156905560541,1.1959186652390599,False,False,-2.3164095325255003,-4.343206007704424,,,,,,,0,0
station_4l_node_b,default,still_clear,False,False,,,True,True,0.3320538729672178,0.32784041630529054,8.989640254651427,8.989640254651427,1.1092407785514256,1.1092407785514256,False,False,5.670181339087949,5.670181339087949,,,,,,,0,0
station_4l_node_c,default,still_clear,False,False,,,True,True,0.13521138222409093,0.1370338248048569,0.8551052451097562,0.8551052451097562,0.035760946730570085,0.035760946730570085,False,False,5.337228654516279,5.337228654516279,,,,,,,0,0
station_4r_node_a,default,still_clear,False,False,,,True,True,0.1908204370057915,0.1873373807458803,3.6492845677704757,3.6492845677704757,0.05488634557505507,0.05488634557505507,False,False,-4.797955361781156,-4.797955361781156,,,,,,,0,0
station_4r_node_b,default,still_flagged,True,True,contact refinement remained ambiguous,contact refinement remained ambiguous,True,True,0.19780547681373678,0.209887250650477,6.7884652113566935,3.78575179256146,0.23040319619918848,0.0407480155624235,True,True,-5.148093615090742,-0.28636387182133527,,,,,,,0,0
station_4r_node_c,default,still_clear,False,False,,,True,True,0.08429518913860218,0.08152645273200347,7.440413621609189,7.440413621609189,0.6758545106661423,0.6758545106661423,False,False,-0.782083185546051,-0.782083185546051,,,,,,,0,0
station_7_node_a,lms,resolved,True,False,nUS delta 15.00 deg > 10.0 deg | target not in displayed fan sector,,False,True,0.30353049681943334,0.7267996530789246,15.00484803427674,2.535013071491338,0.4076628088302039,0.496474890091123,False,False,-15.94672303529539,-8.064392405751857,,,,,,,0,0
station_7_node_a,rms,still_clear,False,False,,,True,True,0.43235361933567523,0.42584562012142235,2.5024690780128362,2.5024690780128362,1.3108165583430835,1.3108165583430835,False,False,-5.598121649940108,-5.598121649940108,,,,,,,0,0
