preset_id,approach,flagged,flag_reasons,geometry_flag_reasons,physics_flag_reasons,contact_to_mesh_mm,contact_to_centerline_mm,target_depth_mm,target_lateral_offset_mm,target_in_sector,target_in_forward_hemisphere,station_overlap_fraction_in_fan,nUS_delta_deg_from_voxel_baseline,contact_delta_mm_from_voxel_baseline,contact_refinement_ambiguity,target_contrast_vs_sector,wall_contrast_vs_sector,vessel_contrast_vs_sector,localizer_panel_png,localizer_clean_png,physics_png,physics_json,eval_summary_json,review_sheet_md,physics_debug_map_count,cutaway_side,cutaway_mode,vessel_overlay_names,review_json,warnings
station_10r_node_a,default,False,,,,0.12653614025917256,5.086286752433464,16.10949551027935,-1.605726882778938,True,True,0.2522885389967045,5.339151284637525,0.6263696743868383,False,0.01345408707857132,0.8476169556379318,-0.048655524384230375,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_a/default/review_sheet.md,0,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_a/default/review_entry.json,
station_10r_node_b,default,False,,,,0.08989841074204595,5.092392105751235,9.184919104789461,2.148515656101151,True,True,0.12376418894177957,2.9049015747126825,1.0420124022358168,False,0.04033137485384941,0.9476453773677349,-0.03741340897977352,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_b/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_b/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_b/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_b/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_b/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_b/default/review_sheet.md,0,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_10r_node_b/default/review_entry.json,
station_11l_node_a,default,True,nUS delta 19.67 deg > 10.0 deg | contact delta 3.39 mm > 1.5 mm,nUS delta 19.67 deg > 10.0 deg | contact delta 3.39 mm > 1.5 mm,,0.3856369592306546,2.5910454644563075,12.639232275728528,-3.2590520301301136,True,True,0.03515195898938118,19.670885677307236,3.394448808830015,False,0.0007437318563461304,0.16544752940535545,-0.03479803912341595,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11l_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11l_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11l_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11l_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11l_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11l_node_a/default/review_sheet.md,0,left,lateral,"pulmonary_artery,pulmonary_venous_system,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11l_node_a/default/review_entry.json,
station_11ri_node_a,default,True,contact delta 2.56 mm > 1.5 mm | contact refinement remained ambiguous | target contrast -0.014 < 0.000,contact delta 2.56 mm > 1.5 mm | contact refinement remained ambiguous,target contrast -0.014 < 0.000,0.0638532981827656,2.3533915612478298,18.381006466248532,0.7665116823492544,True,True,0.03515195898938118,8.25313379024058,2.5637049475918916,True,-0.01408391259610653,0.47329721227288246,-0.013514922931790352,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11ri_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11ri_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11ri_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11ri_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11ri_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11ri_node_a/default/review_sheet.md,0,right,lateral,"pulmonary_artery,right_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11ri_node_a/default/review_entry.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_11rs_node_a,default,True,target region missing from physics eval summary,,target region missing from physics eval summary,0.074114274526493,4.433002309237437,15.507584556903613,4.238540602464664,True,True,0.15854998169168802,0.3254438585445646,0.7688306736465542,False,,0.5077182985842228,-0.029343408066779375,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_a/default/review_sheet.md,0,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_a/default/review_entry.json,Contact is 2.28 mm from the airway surface.
station_11rs_node_b,default,True,contact delta 2.31 mm > 1.5 mm | contact refinement remained ambiguous | target contrast -0.009 < 0.000,contact delta 2.31 mm > 1.5 mm | contact refinement remained ambiguous,target contrast -0.009 < 0.000,0.1903821314406148,3.7451410086233397,25.946746328386407,0.9487230891474121,True,True,0.18381545221530574,4.3958711097996055,2.31043560324354,True,-0.008528070524334908,0.8449721299111843,-0.026490921154618263,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_b/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_b/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_b/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_b/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_b/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_b/default/review_sheet.md,0,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_11rs_node_b/default/review_entry.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_2l_node_a,default,False,,,,0.19617090505236165,5.896050982456939,4.202841193642756,-0.748817590678073,True,True,0.03149029659465397,7.008063063063497,0.30676205382940097,False,0.07003673166036606,0.9308570846915245,-0.023865433409810066,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2l_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2l_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2l_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2l_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2l_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2l_node_a/default/review_sheet.md,0,auto,lateral,"aorta,left_common_carotid_artery,left_subclavian_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2l_node_a/default/review_entry.json,
station_2r_node_a,default,False,,,,0.007590374900418614,6.496498320278454,6.0769506735863335,1.64449403933254,True,True,0.06749664347613817,8.047749739414357,0.5074881745169543,False,0.04126116260886192,0.8286462016403675,,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2r_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2r_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2r_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2r_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2r_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2r_node_a/default/review_sheet.md,0,auto,lateral,"superior_vena_cava,brachiocephalic_trunk,right_common_carotid_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_2r_node_a/default/review_entry.json,Contact projects 6.35 mm away from the main centerline.
station_4l_node_a,default,True,target contrast -0.001 < 0.000,,target contrast -0.001 < 0.000,0.1960611167152473,4.775534450817501,21.8859305327397,-4.343206007704424,True,True,0.46661784450140364,2.486351823137489,1.1959186652390599,False,-0.0008611604571342468,0.8523355275392532,-0.03065233980305493,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_a/default/review_sheet.md,0,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_a/default/review_entry.json,
station_4l_node_b,default,True,target contrast -0.006 < 0.000,,target contrast -0.006 < 0.000,0.03262127816559435,4.923541659755715,21.47371339410676,5.670181339087949,True,True,0.32954961552544854,8.989640254651427,1.1092407785514256,False,-0.006009649485349655,0.9487402252852917,-0.04496469907462597,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_b/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_b/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_b/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_b/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_b/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_b/default/review_sheet.md,0,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_b/default/review_entry.json,
station_4l_node_c,default,False,,,,0.035760946730570085,4.853148616668326,14.251453810403568,5.337228654516279,True,True,0.13474917612596118,0.8551052451097562,0.035760946730570085,False,0.02068915218114853,0.8633318468928337,-0.04425195697695017,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_c/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_c/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_c/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_c/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_c/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_c/default/review_sheet.md,0,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4l_node_c/default/review_entry.json,
station_4r_node_a,default,False,,,,0.05488634557505507,6.31999617896946,10.33685045124368,-4.797955361781156,True,True,0.19016233369949959,3.6492845677704757,0.05488634557505507,False,0.019804272800683975,0.8839263282716274,-0.050325209740549326,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4r_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4r_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4r_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4r_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4r_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4r_node_a/default/review_sheet.md,0,right,lateral,"superior_vena_cava,azygous,pulmonary_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/_review_calibration_default_wall/presets/station_4r_node_a/default/review_entry.json,
