preset_id,approach,flagged,flag_reasons,contact_to_mesh_mm,contact_to_centerline_mm,target_depth_mm,target_lateral_offset_mm,target_in_sector,target_in_forward_hemisphere,station_overlap_fraction_in_fan,nUS_delta_deg_from_voxel_baseline,contact_delta_mm_from_voxel_baseline,contact_refinement_ambiguity,cutaway_side,cutaway_mode,vessel_overlay_names,diagnostic_panel_png,clean_simulated_png,review_json,warnings
station_2l_node_a,default,False,,0.19617090505236165,5.896050982456939,4.202841193642756,-0.748817590678073,True,True,0.030355594102341718,7.008063063063497,0.30676205382940097,False,auto,lateral,"aorta,left_common_carotid_artery,left_subclavian_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_2l_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_2l_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_2l_node_a_review.json,
station_2r_node_a,default,False,,0.007590374900418614,6.496498320278454,6.0769506735863335,1.64449403933254,True,True,0.06851691240242845,8.047749739414357,0.5074881745169543,False,auto,lateral,"superior_vena_cava,brachiocephalic_trunk,right_common_carotid_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_2r_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_2r_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_2r_node_a_review.json,Contact projects 6.35 mm away from the main centerline.
station_4l_node_a,default,False,,0.1960611167152473,4.775534450817501,21.8859305327397,-4.343206007704424,True,True,0.4562012142237641,2.486351823137489,1.1959186652390599,False,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_a_review.json,
station_4l_node_b,default,False,,0.03262127816559435,4.923541659755715,21.47371339410676,5.670181339087949,True,True,0.32784041630529054,8.989640254651427,1.1092407785514256,False,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_b_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_b_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_b_review.json,
station_4l_node_c,default,False,,0.035760946730570085,4.853148616668326,14.251453810403568,5.337228654516279,True,True,0.1370338248048569,0.8551052451097562,0.035760946730570085,False,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_c_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_c_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4l_node_c_review.json,
station_4r_node_a,default,False,,0.05488634557505507,6.31999617896946,10.33685045124368,-4.797955361781156,True,True,0.1873373807458803,3.6492845677704757,0.05488634557505507,False,right,lateral,"superior_vena_cava,azygous,pulmonary_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_a_review.json,
station_4r_node_b,default,True,contact refinement remained ambiguous,0.0407480155624235,6.153406233839823,10.553114624171032,-0.28636387182133527,True,True,0.209887250650477,3.78575179256146,0.0407480155624235,True,right,lateral,"superior_vena_cava,azygous,pulmonary_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_b_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_b_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_b_review.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_4r_node_c,default,False,,0.1769943010458593,5.757359028213906,7.3791804535503855,-0.782083185546051,True,True,0.08152645273200347,7.440413621609189,0.6758545106661423,False,right,lateral,"superior_vena_cava,azygous,pulmonary_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_c_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_c_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_4r_node_c_review.json,
station_7_node_a,lms,False,,0.010870763241346887,4.628096082081661,20.35744414729004,-8.064392405751857,True,True,0.7267996530789246,2.535013071491338,0.496474890091123,False,left,lateral,"left_atrium,pulmonary_artery,aorta",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_7_node_a_lms_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_7_node_a_lms_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_7_node_a_lms_review.json,
station_7_node_a,rms,False,,0.19221097287123254,4.321017586336224,12.294288614807211,-5.598121649940108,True,True,0.42584562012142235,2.5024690780128362,1.3108165583430835,False,right,lateral,"left_atrium,pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_7_node_a_rms_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_7_node_a_rms_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_7_node_a_rms_review.json,
station_10r_node_a,default,False,,0.12653614025917256,5.086286752433464,16.10949551027935,-1.605726882778938,True,True,0.2471812662619254,5.339151284637525,0.6263696743868383,False,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_10r_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_10r_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_10r_node_a_review.json,
station_10r_node_b,default,False,,0.08989841074204595,5.092392105751235,9.184919104789461,2.148515656101151,True,True,0.1266261925411969,2.9049015747126825,1.0420124022358168,False,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_10r_node_b_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_10r_node_b_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_10r_node_b_review.json,
station_11l_node_a,default,True,nUS delta 19.67 deg > 10.0 deg | contact delta 3.39 mm > 1.5 mm,0.3856369592306546,2.5910454644563075,12.639232275728528,-3.2590520301301136,True,True,0.031222896790980052,19.670885677307236,3.394448808830015,False,left,lateral,"pulmonary_artery,pulmonary_venous_system,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11l_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11l_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11l_node_a_review.json,
station_11ri_node_a,default,True,contact delta 2.56 mm > 1.5 mm | contact refinement remained ambiguous,0.0638532981827656,2.3533915612478298,18.381006466248532,0.7665116823492544,True,True,0.0372940156114484,8.25313379024058,2.5637049475918916,True,right,lateral,"pulmonary_artery,right_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11ri_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11ri_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11ri_node_a_review.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_11rs_node_a,default,False,,0.074114274526493,4.433002309237437,15.507584556903613,4.238540602464664,True,True,0.15351257588898526,0.3254438585445646,0.7688306736465542,False,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11rs_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11rs_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11rs_node_a_review.json,Contact is 2.28 mm from the airway surface.
station_11rs_node_b,default,True,contact delta 2.31 mm > 1.5 mm | contact refinement remained ambiguous,0.1903821314406148,3.7451410086233397,25.946746328386407,0.9487230891474121,True,True,0.1899392888117953,4.3958711097996055,2.31043560324354,True,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11rs_node_b_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11rs_node_b_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_stabilized/approaches/station_11rs_node_b_review.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
