preset_id,approach,flagged,flag_reasons,geometry_flag_reasons,physics_flag_reasons,contact_to_mesh_mm,contact_to_centerline_mm,target_depth_mm,target_lateral_offset_mm,target_in_sector,target_in_forward_hemisphere,station_overlap_fraction_in_fan,nUS_delta_deg_from_voxel_baseline,contact_delta_mm_from_voxel_baseline,contact_refinement_ambiguity,target_contrast_vs_sector,wall_contrast_vs_sector,vessel_contrast_vs_sector,reference_status,reference_keyframe_count,localizer_panel_png,localizer_clean_png,physics_png,physics_json,eval_summary_json,review_sheet_md,physics_debug_map_count,cutaway_side,cutaway_mode,vessel_overlay_names,review_json,warnings
station_10r_node_a,default,False,,,,0.12653614025917256,5.086286752433464,16.10949551027935,-1.605726882778938,True,True,0.25398418532734746,5.339151284637525,0.6263696743868383,False,0.08533573150634766,0.6999830007553101,-0.22901251167058945,white_light_only,3,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_a/default/review_sheet.md,0,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_a/default/review_entry.json,
station_10r_node_b,default,False,,,,0.08989841074204595,5.092392105751235,9.184919104789461,2.148515656101151,True,True,0.12346566479946833,2.9049015747126825,1.0420124022358168,False,0.11334347724914551,0.8088507950305939,-0.12308398634195328,white_light_only,3,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_b/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_b/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_b/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_b/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_b/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_b/default/review_sheet.md,0,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_10r_node_b/default/review_entry.json,
station_11l_node_a,default,True,nUS delta 19.67 deg > 10.0 deg | contact delta 3.39 mm > 1.5 mm,nUS delta 19.67 deg > 10.0 deg | contact delta 3.39 mm > 1.5 mm,,0.3856369592306546,2.5910454644563075,12.639232275728528,-3.2590520301301136,True,True,0.03518289953749542,19.670885677307236,3.394448808830015,False,0.051138296723365784,0.24879980087280273,-0.09519018977880478,ebus_reference,4,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11l_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11l_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11l_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11l_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11l_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11l_node_a/default/review_sheet.md,0,left,lateral,"pulmonary_artery,pulmonary_venous_system,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11l_node_a/default/review_entry.json,
station_11ri_node_a,default,True,contact delta 2.56 mm > 1.5 mm | contact refinement remained ambiguous | target contrast -0.043 < 0.000,contact delta 2.56 mm > 1.5 mm | contact refinement remained ambiguous,target contrast -0.043 < 0.000,0.0638532981827656,2.3533915612478298,18.381006466248532,0.7665116823492544,True,True,0.03519646272158852,8.25313379024058,2.5637049475918916,True,-0.04270614683628082,0.6255835741758347,-0.0556868314743042,ebus_reference,4,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11ri_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11ri_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11ri_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11ri_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11ri_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11ri_node_a/default/review_sheet.md,0,right,lateral,"pulmonary_artery,right_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11ri_node_a/default/review_entry.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_11rs_node_a,default,True,target region missing from physics eval summary,,target region missing from physics eval summary,0.074114274526493,4.433002309237437,15.507584556903613,4.238540602464664,True,True,0.16018120413948378,0.3254438585445646,0.7688306736465542,False,,0.7072834819555283,-0.08008711412549019,ebus_reference,4,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_a/default/review_sheet.md,0,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_a/default/review_entry.json,Contact is 2.28 mm from the airway surface.
station_11rs_node_b,default,True,contact delta 2.31 mm > 1.5 mm | contact refinement remained ambiguous,contact delta 2.31 mm > 1.5 mm | contact refinement remained ambiguous,,0.1903821314406148,3.7451410086233397,25.946746328386407,0.9487230891474121,True,True,0.18432367182519768,4.3958711097996055,2.31043560324354,True,0.0017699599266052246,0.8329212665557861,-0.08062124624848366,ebus_reference,4,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_b/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_b/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_b/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_b/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_b/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_b/default/review_sheet.md,0,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_11rs_node_b/default/review_entry.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_2l_node_a,default,False,,,,0.19617090505236165,5.896050982456939,4.202841193642756,-0.748817590678073,True,True,0.03127670251868329,7.008063063063497,0.30676205382940097,False,0.18154585361480713,0.8366497755050659,-0.08356588333845139,ebus_reference,4,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2l_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2l_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2l_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2l_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2l_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2l_node_a/default/review_sheet.md,0,auto,lateral,"aorta,left_common_carotid_artery,left_subclavian_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2l_node_a/default/review_entry.json,
station_2r_node_a,default,False,,,,0.007590374900418614,6.496498320278454,6.0769506735863335,1.64449403933254,True,True,0.06749040404725414,8.047749739414357,0.5074881745169543,False,0.09546749293804169,0.786147341132164,,ebus_reference,4,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2r_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2r_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2r_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2r_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2r_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2r_node_a/default/review_sheet.md,0,auto,lateral,"superior_vena_cava,brachiocephalic_trunk,right_common_carotid_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_2r_node_a/default/review_entry.json,Contact projects 6.35 mm away from the main centerline.
station_4l_node_a,default,False,,,,0.1960611167152473,4.775534450817501,21.8859305327397,-4.343206007704424,True,True,0.4690962850438769,2.486351823137489,1.1959186652390599,False,0.03889119625091553,0.8492525964975357,-0.09683752804994583,ebus_reference,4,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_a/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_a/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_a/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_a/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_a/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_a/default/review_sheet.md,0,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_a/default/review_entry.json,
station_4l_node_b,default,False,,,,0.03262127816559435,4.923541659755715,21.47371339410676,5.670181339087949,True,True,0.3320538729672178,8.989640254651427,1.1092407785514256,False,0.00525134801864624,0.7159605324268341,-0.20967374742031097,ebus_reference,4,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_b/default/localizer_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_b/default/localizer_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_b/default/physics.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_b/default/physics.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_b/default/eval_summary.json,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_b/default/review_sheet.md,0,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_with_references/presets/station_4l_node_b/default/review_entry.json,
